COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009002;ROSALEDA;16/01/1997;PST;72
03009002;ROSALEDA;16/01/1997;O3;20
03009002;ROSALEDA;16/01/1997;NOX;202
03009002;ROSALEDA;16/01/1997;NO2;93
03009002;ROSALEDA;16/01/1997;NO;71
03009002;ROSALEDA;16/01/1997;CO;1,8
03009002;ROSALEDA;17/01/1997;SO2;50
03009002;ROSALEDA;17/01/1997;PB;0,04
03009002;ROSALEDA;17/01/1997;CO;1,6
03009002;ROSALEDA;17/01/1997;NO;59
03009002;ROSALEDA;17/01/1997;NO2;77
03009002;ROSALEDA;17/01/1997;NOX;169
03009002;ROSALEDA;17/01/1997;O3;30
03009002;ROSALEDA;17/01/1997;PST;36
03009002;ROSALEDA;18/01/1997;SO2;27
03009002;ROSALEDA;18/01/1997;NO;31
03009002;ROSALEDA;18/01/1997;NO2;73
03009002;ROSALEDA;18/01/1997;NOX;121
03009002;ROSALEDA;18/01/1997;O3;42
03009002;ROSALEDA;18/01/1997;PST;15
03009002;ROSALEDA;18/01/1997;PB;0,03
03009002;ROSALEDA;18/01/1997;CO;1,4
03009002;ROSALEDA;19/01/1997;CO;1,3
03009002;ROSALEDA;19/01/1997;NO;23
03009002;ROSALEDA;19/01/1997;NO2;54
03009002;ROSALEDA;19/01/1997;NOX;89
03009002;ROSALEDA;19/01/1997;O3;37
03009002;ROSALEDA;19/01/1997;PST;7
03009002;ROSALEDA;19/01/1997;PB;0,05
03009002;ROSALEDA;19/01/1997;SO2;12
03009002;ROSALEDA;20/01/1997;NO;33
03009002;ROSALEDA;20/01/1997;NO2;59
03009002;ROSALEDA;20/01/1997;NOX;110
03009002;ROSALEDA;20/01/1997;O3;34
03009002;ROSALEDA;20/01/1997;PST;47
03009002;ROSALEDA;20/01/1997;PB;0,04
03009002;ROSALEDA;20/01/1997;SO2;43
03009002;ROSALEDA;20/01/1997;CO;1,2
03009002;ROSALEDA;21/01/1997;CO;1,5
03009002;ROSALEDA;21/01/1997;NO;79
03009002;ROSALEDA;21/01/1997;NO2;84
03009002;ROSALEDA;21/01/1997;NOX;206
03009002;ROSALEDA;21/01/1997;O3;17
03009002;ROSALEDA;21/01/1997;PST;112
03009002;ROSALEDA;21/01/1997;SO2;124
03009002;ROSALEDA;21/01/1997;PB;0,02
03009002;ROSALEDA;22/01/1997;PB;0,04
03009002;ROSALEDA;22/01/1997;SO2;92
03009002;ROSALEDA;22/01/1997;PST;182
03009002;ROSALEDA;22/01/1997;O3;13
03009002;ROSALEDA;22/01/1997;NOX;222
03009002;ROSALEDA;22/01/1997;NO2;85
03009002;ROSALEDA;22/01/1997;NO;89
03009002;ROSALEDA;22/01/1997;CO;1,8
03009002;ROSALEDA;23/01/1997;SO2;47
03009002;ROSALEDA;23/01/1997;PB;
03009002;ROSALEDA;23/01/1997;CO;1,3
03009002;ROSALEDA;23/01/1997;NO;40
03009002;ROSALEDA;23/01/1997;NO2;74
03009002;ROSALEDA;23/01/1997;NOX;136
03009002;ROSALEDA;23/01/1997;O3;20
03009002;ROSALEDA;23/01/1997;PST;130
03009002;ROSALEDA;24/01/1997;CO;1,3
03009002;ROSALEDA;24/01/1997;PB;
03009002;ROSALEDA;24/01/1997;PST;30
03009002;ROSALEDA;24/01/1997;O3;31
03009002;ROSALEDA;24/01/1997;NOX;129
03009002;ROSALEDA;24/01/1997;NO2;70
03009002;ROSALEDA;24/01/1997;NO;39
03009002;ROSALEDA;24/01/1997;SO2;22
03009002;ROSALEDA;25/01/1997;CO;1,3
03009002;ROSALEDA;25/01/1997;NO;29
03009002;ROSALEDA;25/01/1997;NO2;68
03009002;ROSALEDA;25/01/1997;NOX;113
03009002;ROSALEDA;25/01/1997;O3;29
03009002;ROSALEDA;25/01/1997;PST;33
03009002;ROSALEDA;25/01/1997;PB;0,07
03009002;ROSALEDA;25/01/1997;SO2;11
03009002;ROSALEDA;26/01/1997;SO2;5
03009002;ROSALEDA;26/01/1997;NO;24
03009002;ROSALEDA;26/01/1997;NO2;53
03009002;ROSALEDA;26/01/1997;NOX;90
03009002;ROSALEDA;26/01/1997;O3;35
03009002;ROSALEDA;26/01/1997;PST;24
03009002;ROSALEDA;26/01/1997;PB;0,04
03009002;ROSALEDA;26/01/1997;CO;1,1
03009002;ROSALEDA;27/01/1997;SO2;58
03009002;ROSALEDA;27/01/1997;PB;0,05
03009002;ROSALEDA;27/01/1997;PST;55
03009002;ROSALEDA;27/01/1997;O3;23
03009002;ROSALEDA;27/01/1997;NOX;171
03009002;ROSALEDA;27/01/1997;NO2;79
03009002;ROSALEDA;27/01/1997;NO;60
03009002;ROSALEDA;27/01/1997;CO;1,4
03009002;ROSALEDA;28/01/1997;CO;1,5
03009002;ROSALEDA;28/01/1997;SO2;35
03009002;ROSALEDA;28/01/1997;PB;0,03
03009002;ROSALEDA;28/01/1997;PST;57
03009002;ROSALEDA;28/01/1997;O3;23
03009002;ROSALEDA;28/01/1997;NOX;172
03009002;ROSALEDA;28/01/1997;NO2;84
03009002;ROSALEDA;28/01/1997;NO;57
03009002;ROSALEDA;29/01/1997;PB;
03009002;ROSALEDA;29/01/1997;PST;63
03009002;ROSALEDA;29/01/1997;O3;29
03009002;ROSALEDA;29/01/1997;NOX;147
03009002;ROSALEDA;29/01/1997;NO2;84
03009002;ROSALEDA;29/01/1997;NO;41
03009002;ROSALEDA;29/01/1997;CO;1,3
03009002;ROSALEDA;29/01/1997;SO2;48
03009002;ROSALEDA;30/01/1997;CO;1,4
03009002;ROSALEDA;30/01/1997;NO;54
03009002;ROSALEDA;30/01/1997;NO2;88
03009002;ROSALEDA;30/01/1997;NOX;170
03009002;ROSALEDA;30/01/1997;O3;30
03009002;ROSALEDA;30/01/1997;PST;76
03009002;ROSALEDA;30/01/1997;PB;
03009002;ROSALEDA;30/01/1997;SO2;58
03009002;ROSALEDA;31/01/1997;PB;
03009002;ROSALEDA;31/01/1997;PST;95
03009002;ROSALEDA;31/01/1997;O3;21
03009002;ROSALEDA;31/01/1997;NOX;283
03009002;ROSALEDA;31/01/1997;NO2;116
03009002;ROSALEDA;31/01/1997;NO;109
03009002;ROSALEDA;31/01/1997;CO;2,3
03009002;ROSALEDA;31/01/1997;SO2;104
03009003;OLIVER;01/01/1997;NOX;29
03009003;OLIVER;01/01/1997;CO;0,9
